ID,seed_noun,source,translation,human eval,to_keep,prompt,response
10.0,settlers,"Prime Minister Sharon must not bow to pressure from radical settlers and movements, as this would ensure that Israel could only develop within its biblical borders.","Premierminister Sharon darf dem Druck radikaler Siedler und Bewegungen nicht nachgeben, da dies sicherstellen würde, dass Israel sich nur innerhalb seiner biblischen Grenzen entwickeln könnte.",,0.0,N/A,N/A
11.0,primary school pupils,,,,0.0,N/A,N/A
12.0,recipients,Consideration should be given to the introduction of quality certificates for service providers in order to improve the recipients' confidence.,"Es sollte über die Einführung von Qualitätszertifikaten für Dienstleister nachgedacht werden, um das Vertrauen der Empfänger zu verbessern.",1,1.0,"
If the following sentence contains the German translation for the English word 'recipients', tell me which overt gender it displays among Masculine, Feminine, Gender-Neutral, or Gender-Inclusive. If no translation is found, reply with None.
Sentence: 'Es sollte über die Einführung von Qualitätszertifikaten für Dienstleister nachgedacht werden, um das Vertrauen der Empfänger zu verbessern.'
","The German translation for 'recipients' in the sentence is 'Empfänger', and it displays Masculine gender."
13.0,recipients,Russia has therefore been treated differently from other recipients of EU loan guarantees.,Russland wurde daher anders als andere Empfänger von EU-Kreditgarantien behandelt.,1,1.0,"
If the following sentence contains the German translation for the English word 'recipients', tell me which overt gender it displays among Masculine, Feminine, Gender-Neutral, or Gender-Inclusive. If no translation is found, reply with None.
Sentence: 'Russland wurde daher anders als andere Empfänger von EU-Kreditgarantien behandelt.'
",The German translation for the English word 'recipients' in the sentence is 'Empfänger' which displays Masculine gender.
14.0,recipients,"However, in view of the inaccuracies and shortcomings that have been observed, demands have been presented to have the necessary arrangements made immediately, in particular in order to better define the measures and to actually pass the benefit on to the recipients by curtailing delays in the handling of cases and the payment of beneficiaries, in order to ensure that the results achieved are...","Allerdings sind angesichts der festgestellten Unrichtigkeiten und Mängel Forderungen aufgestellt worden, die erforderlichen Maßnahmen umgehend zu treffen, insbesondere um die Maßnahmen besser zu definieren und den Nutzen tatsächlich durch eine Verkürzung von Verzögerungen bei der Bearbeitung von Fällen und der Zahlung an Begünstigte weiterzugeben, um sicherzustellen, dass die erzielten Ergebnisse...",-,0.0,N/A,N/A
15.0,recipients,"This correction should not benefit the so-called wealthier 'net payers' at the expense of the poorer 'net recipients' but will be designed to ensure greater fairness in future between the wealthier Member States, the net payers.","Diese Korrektur sollte nicht zugunsten der sogenannten reicheren ""Nettozahler"" auf Kosten der ärmeren ""Nettoempfänger"" erfolgen, sondern darauf abzielen, zukünftig eine größere Fairness zwischen den reicheren Mitgliedstaaten, den Nettozahlern, sicherzustellen.",1,1.0,"
If the following sentence contains the German translation for the English word 'recipients', tell me which overt gender it displays among Masculine, Feminine, Gender-Neutral, or Gender-Inclusive. If no translation is found, reply with None.
Sentence: 'Diese Korrektur sollte nicht zugunsten der sogenannten reicheren ""Nettozahler"" auf Kosten der ärmeren ""Nettoempfänger"" erfolgen, sondern darauf abzielen, zukünftig eine größere Fairness zwischen den reicheren Mitgliedstaaten, den Nettozahlern, sicherzustellen.'
",The German translation for the English word 'recipients' in the sentence is 'Nettoempfänger' and it displays Masculine gender.
16.0,recipients,"On the contrary, the attitude towards financing the MEDA programme has much more to do with a desire to ensure efficient, value-for-money spending with proper, generous effects for the people who should be the recipients of such development support, rather than simply having figures on a budget which can look impressive but have less impressive consequences.","Im Gegenteil, die Einstellung zum Finanzieren des MEDA-Programms hat viel mehr mit dem Wunsch zu tun, effiziente Ausgaben mit angemessenen, großzügigen Auswirkungen für die Menschen sicherzustellen, die Empfänger einer solchen Entwicklungshilfe sein sollten, anstatt lediglich beeindruckende Zahlen im Haushalt zu haben, die jedoch weniger beeindruckende Konsequenzen haben können.",,0.0,N/A,N/A
17.0,reformers,"It is actually up to the heads of state and government and those who want to see an active Russian policy to break free from the attitude of distant observation which has been all too prevalent up till now, to draw up guidelines for intensive cooperation with ambitious and bold objectives, and to resolutely back the Russian reformers.","Es liegt tatsächlich in der Verantwortung der Staats- und Regierungschefs sowie derer, die eine aktive russische Politik sehen wollen, sich von der Haltung des distanzierten Beobachtens zu lösen, die bislang allzu verbreitet war, Leitlinien für eine intensive Zusammenarbeit mit ehrgeizigen und mutigen Zielen zu erarbeiten und die russischen Reformkräfte entschieden zu unterstützen.",3,1.0,"
If the following sentence contains the German translation for the English word 'reformers', tell me which overt gender it displays among Masculine, Feminine, Gender-Neutral, or Gender-Inclusive. If no translation is found, reply with None.
Sentence: 'Es liegt tatsächlich in der Verantwortung der Staats- und Regierungschefs sowie derer, die eine aktive russische Politik sehen wollen, sich von der Haltung des distanzierten Beobachtens zu lösen, die bislang allzu verbreitet war, Leitlinien für eine intensive Zusammenarbeit mit ehrgeizigen und mutigen Zielen zu erarbeiten und die russischen Reformkräfte entschieden zu unterstützen.'
",The German translation for 'reformers' in the sentence is 'Reformkräfte' which is Gender-Neutral.
18.0,reformers,Progress in Turkey inspires reformers and acts as a catalyst for democracy and human rights in the whole region.,Fortschritt in der Türkei inspiriert Reformbefürworter und wirkt als Katalysator für Demokratie und Menschenrechte in der gesamten Region.,1,1.0,"
If the following sentence contains the German translation for the English word 'reformers', tell me which overt gender it displays among Masculine, Feminine, Gender-Neutral, or Gender-Inclusive. If no translation is found, reply with None.
Sentence: 'Fortschritt in der Türkei inspiriert Reformbefürworter und wirkt als Katalysator für Demokratie und Menschenrechte in der gesamten Region.'
",The German translation for 'reformers' in the sentence is 'Reformbefürworter' and it displays Masculine gender.
19.0,reformers,"To allow the European Parliament to vote for Turkey's accession when the time comes, reformers in Europe and Turkey must work together to lobby for change, as the Commissioner advised.","Um dem Europäischen Parlament zu ermöglichen, für den Beitritt der Türkei zu stimmen, wenn es soweit ist, müssen Reformer in Europa und der Türkei eng zusammenarbeiten, um für Veränderungen zu lobbyieren, wie es der Kommissar empfohlen hat.",1,1.0,"
If the following sentence contains the German translation for the English word 'reformers', tell me which overt gender it displays among Masculine, Feminine, Gender-Neutral, or Gender-Inclusive. If no translation is found, reply with None.
Sentence: 'Um dem Europäischen Parlament zu ermöglichen, für den Beitritt der Türkei zu stimmen, wenn es soweit ist, müssen Reformer in Europa und der Türkei eng zusammenarbeiten, um für Veränderungen zu lobbyieren, wie es der Kommissar empfohlen hat.'
",The German translation for the English word 'reformers' in the sentence is 'Reformer' which displays Masculine gender.
20.0,reformers,"Being frank and fair also means that we need to praise Turkey for the new penal code, while pointing out to the reformers that this new penal code still contains far too many clauses and articles that can be misconstrued by the conservatives to frustrate the reformers, as we have seen in the case of the author Orhan Pamuk; that is why further changes are needed.","Ehrlich und fair zu sein bedeutet auch, dass wir die Türkei für das neue Strafgesetzbuch loben müssen, während wir den Reformern darauf hinweisen, dass dieses neue Strafgesetzbuch immer noch viel zu viele Klauseln und Artikel enthält, die von den Konservativen so uminterpretiert werden können, dass sie die Reformisten frustrieren, wie wir es im Fall des Autors Orhan Pamuk gesehen haben; deshalb sind weitere Änderungen erforderlich.",,0.0,N/A,N/A
21.0,reformers,"Contacts must be established, but good use must be made of these, and the reformers must be given as much support as possible.","Kontakte müssen aufgebaut werden, aber diese müssen gut genutzt werden und den Reformern muss so viel Unterstützung wie möglich gegeben werden.",,0.0,N/A,N/A
22.0,colleagues,"Dear colleagues, I have a statement to read.","Liebe Kollegen, ich habe eine Erklärung vorzulesen.",1,1.0,"
If the following sentence contains the German translation for the English word 'colleagues', tell me which overt gender it displays among Masculine, Feminine, Gender-Neutral, or Gender-Inclusive. If no translation is found, reply with None.
Sentence: 'Liebe Kollegen, ich habe eine Erklärung vorzulesen.'
",The German translation for 'colleagues' in the sentence is 'Kollegen'. It displays Masculine gender.
23.0,colleagues,"Nobody here in Parliament can claim with a clear conscience that it will have any particular effect on research into medicine X or medicine Y. Certain serious scientists argue for the one position, and other equally serious scientists argue for the other, and we should not let ourselves get carried away with polemics, as have some of our colleagues.","Niemand hier im Parlament kann mit reinem Gewissen behaupten, dass es einen bestimmten Effekt auf die Forschung zu Medikament X oder Medikament Y haben wird. Einige ernsthafte Wissenschaftler argumentieren für die eine Position und andere genauso ernsthafte Wissenschaftler argumentieren für die andere, und wir dürfen uns nicht von Polemik mitreißen lassen, wie es einige unserer Kollegen getan haben.",1,1.0,"
If the following sentence contains the German translation for the English word 'colleagues', tell me which overt gender it displays among Masculine, Feminine, Gender-Neutral, or Gender-Inclusive. If no translation is found, reply with None.
Sentence: 'Niemand hier im Parlament kann mit reinem Gewissen behaupten, dass es einen bestimmten Effekt auf die Forschung zu Medikament X oder Medikament Y haben wird. Einige ernsthafte Wissenschaftler argumentieren für die eine Position und andere genauso ernsthafte Wissenschaftler argumentieren für die andere, und wir dürfen uns nicht von Polemik mitreißen lassen, wie es einige unserer Kollegen getan haben.'
","The German translation for 'colleagues' is 'Kollegen', which is Masculine."
24.0,colleagues,"Within these 12 key priorities, my colleagues and I will make sure that the issue you have raised is tackled satisfactorily and that the Commission makes no recommendation to start the accession talks unless questions, such as the one you raised, are dealt with satisfactorily.","Innerhalb dieser 12 Hauptprioritäten werden meine Kollegen und ich sicherstellen, dass das von Ihnen angesprochene Problem zufriedenstellend angegangen wird und die Kommission keine Empfehlung zur Aufnahme der Beitrittsverhandlungen abgibt, es sei denn, Fragen wie die von Ihnen aufgeworfene werden zufriedenstellend behandelt.",1,1.0,"
If the following sentence contains the German translation for the English word 'colleagues', tell me which overt gender it displays among Masculine, Feminine, Gender-Neutral, or Gender-Inclusive. If no translation is found, reply with None.
Sentence: 'Innerhalb dieser 12 Hauptprioritäten werden meine Kollegen und ich sicherstellen, dass das von Ihnen angesprochene Problem zufriedenstellend angegangen wird und die Kommission keine Empfehlung zur Aufnahme der Beitrittsverhandlungen abgibt, es sei denn, Fragen wie die von Ihnen aufgeworfene werden zufriedenstellend behandelt.'
",The German translation for 'colleagues' in the sentence is 'Kollegen' which is Masculine.
25.0,colleagues,in writing. - I and my British Conservative colleagues support the work of the UN and the UN Human Rights Council.,Schriftlich. - Ich und meine britischen konservativen Kollegen unterstützen die Arbeit der UN und des UN-Menschenrechtsrats.,,0.0,N/A,N/A
26.0,colleagues,"To conclude, I regret to say that our colleagues are using arguments which are inaccurate and which can therefore only lead to wrong conclusions.","Abschließend bedauere ich, sagen zu müssen, dass unsere Kollegen Argumente verwenden, die ungenau sind und daher nur zu falschen Schlussfolgerungen führen können.",,0.0,N/A,N/A
27.0,course participants,,,,0.0,N/A,N/A
28.0,patients,"There is, however, a considerable discrepancy between the number of patients waiting for a transplant and the number of patients who actually receive one.","Es besteht jedoch eine erhebliche Diskrepanz zwischen der Anzahl der Patienten, die auf eine Transplantation warten, und der Anzahl der Patienten, die tatsächlich eine erhalten.",1,1.0,"
If the following sentence contains the German translation for the English word 'patients', tell me which overt gender it displays among Masculine, Feminine, Gender-Neutral, or Gender-Inclusive. If no translation is found, reply with None.
Sentence: 'Es besteht jedoch eine erhebliche Diskrepanz zwischen der Anzahl der Patienten, die auf eine Transplantation warten, und der Anzahl der Patienten, die tatsächlich eine erhalten.'
","The German translation for the English word 'patients' is 'Patienten', which is Masculine."
29.0,patients,It is about the consequences for patients of the judgments of the European Court of Justice.,Es geht um die Auswirkungen für Patienten der Urteile des Europäischen Gerichtshofs.,1,1.0,"
If the following sentence contains the German translation for the English word 'patients', tell me which overt gender it displays among Masculine, Feminine, Gender-Neutral, or Gender-Inclusive. If no translation is found, reply with None.
Sentence: 'Es geht um die Auswirkungen für Patienten der Urteile des Europäischen Gerichtshofs.'
","The German translation for 'patients' in the sentence is 'Patienten', which displays Masculine gender."
30.0,patients,"The aim of this report is to improve the current situation; the basic objectives which it sets are promoting early diagnosis and prevention and improving the quality of life of patients, a solidarity-based and uniform response between the various states, from research through to medical treatment, and enhancing the dignity of patents throughout their treatment.","Das Ziel dieses Berichts ist es, die aktuelle Situation zu verbessern; die grundlegenden Ziele, die er festlegt, sind die Förderung einer frühzeitigen Diagnose und Prävention, die Verbesserung der Lebensqualität der Patienten, eine solidarische und einheitliche Reaktion zwischen den verschiedenen Staaten, von der Forschung bis zur medizinischen Behandlung, und die Würde der Patienten während ihrer Behandlung zu verbessern.",1,1.0,"
If the following sentence contains the German translation for the English word 'patients', tell me which overt gender it displays among Masculine, Feminine, Gender-Neutral, or Gender-Inclusive. If no translation is found, reply with None.
Sentence: 'Das Ziel dieses Berichts ist es, die aktuelle Situation zu verbessern; die grundlegenden Ziele, die er festlegt, sind die Förderung einer frühzeitigen Diagnose und Prävention, die Verbesserung der Lebensqualität der Patienten, eine solidarische und einheitliche Reaktion zwischen den verschiedenen Staaten, von der Forschung bis zur medizinischen Behandlung, und die Würde der Patienten während ihrer Behandlung zu verbessern.'
",Masculine
31.0,patients,"In my own country of Ireland, we have one of the lowest ratios of neurologists to patients: 17, where we should have a minimum of 39, a fact that negatively affects the outcome for Irish patients.","In meinem eigenen Land Irland haben wir eines der niedrigsten Verhältnisse von Neurologen zu Patienten: 17, während wir mindestens 39 haben sollten, was sich negativ auf das Ergebnis für irische Patienten auswirkt.",,0.0,N/A,N/A
32.0,patients,"I am particularly in favour of providing added value for patients who are on waiting lists. These new regulations will enable them to be treated more quickly in another Member State, rather than waiting a long time for treatment in their own country.","Ich bin besonders dafür, einen Mehrwert für Patienten zu schaffen, die auf Wartelisten stehen. Diese neuen Vorschriften ermöglichen es ihnen, in einem anderen Mitgliedstaat schneller behandelt zu werden, anstatt lange auf eine Behandlung in ihrem eigenen Land warten zu müssen.",,0.0,N/A,N/A
33.0,mountaineers,"Such assaults on summits may appeal to extreme mountaineers such as our colleague Mr Messner, but I believe that the average member of the public still finds the proceedings laborious and difficult to understand.","Solche Angriffe auf Gipfel mögen Extrembergsteiger wie unser Kollege Herr Messner ansprechen, aber ich glaube, dass der durchschnittliche Bürger die Verfahren nach wie vor mühsam und schwer verständlich findet.",1,1.0,"
If the following sentence contains the German translation for the English word 'mountaineers', tell me which overt gender it displays among Masculine, Feminine, Gender-Neutral, or Gender-Inclusive. If no translation is found, reply with None.
Sentence: 'Solche Angriffe auf Gipfel mögen Extrembergsteiger wie unser Kollege Herr Messner ansprechen, aber ich glaube, dass der durchschnittliche Bürger die Verfahren nach wie vor mühsam und schwer verständlich findet.'
",The German word for mountaineers in the sentence is 'Extrembergsteiger'. It is Masculine.
34.0,mountaineers,"Luckily and thankfully, the incident was witnessed by a number of foreign mountaineers, whose independent and trustworthy accounts, including a video, utterly contradicted the ridiculous lies about what happened put forward in an official statement by the Chinese authorities.","Glücklicherweise und zum Glück wurde der Vorfall von einer Reihe ausländischer Bergsteiger beobachtet, deren unabhängige und vertrauenswürdige Berichte, einschließlich eines Videos, den lächerlichen Lügen über das Geschehene, die in einer offiziellen Erklärung der chinesischen Behörden vorgebracht wurden, völlig widersprachen.",1,1.0,"
If the following sentence contains the German translation for the English word 'mountaineers', tell me which overt gender it displays among Masculine, Feminine, Gender-Neutral, or Gender-Inclusive. If no translation is found, reply with None.
Sentence: 'Glücklicherweise und zum Glück wurde der Vorfall von einer Reihe ausländischer Bergsteiger beobachtet, deren unabhängige und vertrauenswürdige Berichte, einschließlich eines Videos, den lächerlichen Lügen über das Geschehene, die in einer offiziellen Erklärung der chinesischen Behörden vorgebracht wurden, völlig widersprachen.'
","The German translation for 'mountaineers' in the sentence is 'Bergsteiger', which is Masculine."
35.0,mountaineers,"Mr President, I have often, in this Assembly, had the opportunity to quote from the excellent Norwegian handbook for mountaineers.","Herr Präsident, ich hatte oft in dieser Versammlung die Gelegenheit, aus dem ausgezeichneten norwegischen Handbuch für Bergsteiger zu zitieren.",1,1.0,"
If the following sentence contains the German translation for the English word 'mountaineers', tell me which overt gender it displays among Masculine, Feminine, Gender-Neutral, or Gender-Inclusive. If no translation is found, reply with None.
Sentence: 'Herr Präsident, ich hatte oft in dieser Versammlung die Gelegenheit, aus dem ausgezeichneten norwegischen Handbuch für Bergsteiger zu zitieren.'
","The German translation for the English word 'mountaineers' is 'Bergsteiger', which is Masculine."
36.0,mountaineers,The number of potential new applications appears to be infinite. Imagine the thoroughly conceivable scenario that amateur mountaineers too will become dependent on satellite navigation systems in the future.,"Die Anzahl potenzieller neuer Anwendungen scheint unendlich zu sein. Stellen Sie sich das völlig vorstellbare Szenario vor, dass auch Amateur-Bergsteiger in Zukunft von Satellitennavigationssystemen abhängig werden könnten.",,0.0,N/A,N/A
37.0,mountaineers,"Mr President, I must again point out the wisdom contained in the Norwegian Mountaineers’ Handbook. In the event of a discrepancy between the map and the terrain, follow the terrain.","Herr Präsident, ich muss erneut auf die Weisheit hinweisen, die im norwegischen Bergsteigerhandbuch enthalten ist. Bei Unstimmigkeiten zwischen der Karte und dem Gelände folgen Sie dem Gelände.",,0.0,N/A,N/A
38.0,children's day carers,,,,0.0,N/A,N/A
39.0,ceramists,,,,0.0,N/A,N/A
40.0,pacifists,"He believed that would show not only the USA and the world at large, but also Iraq, that the weapons inspections are not something thought up by the USA, but the only way to achieve peace; and it would show that the weapons inspectors have strong support, even among us pacifists and opponents of war.","Er glaubte, dass das nicht nur den USA und der Welt insgesamt zeigen würde, sondern auch dem Irak, dass die Waffeninspektionen keine Erfindung der USA sind, sondern der einzige Weg, um Frieden zu erreichen. Und es würde zeigen, dass die Waffeninspektoren starke Unterstützung haben, sogar unter uns Pazifisten und Kriegsgegnern.",1,1.0,"
If the following sentence contains the German translation for the English word 'pacifists', tell me which overt gender it displays among Masculine, Feminine, Gender-Neutral, or Gender-Inclusive. If no translation is found, reply with None.
Sentence: 'Er glaubte, dass das nicht nur den USA und der Welt insgesamt zeigen würde, sondern auch dem Irak, dass die Waffeninspektionen keine Erfindung der USA sind, sondern der einzige Weg, um Frieden zu erreichen. Und es würde zeigen, dass die Waffeninspektoren starke Unterstützung haben, sogar unter uns Pazifisten und Kriegsgegnern.'
",The German translation for 'pacifists' in the sentence is 'Pazifisten' which is Masculine.
41.0,pacifists,"Suspending aid amounts to punishing the Palestinian population as a whole, that is to say to punishing not only the Islamists of Hamas, but also the civilian population, the children, the women, the pacifists and the democrats who were represented, I would point out, by 12 other lists of candidates during the elections.","Die Aussetzung der Hilfe bedeutet, die palästinensische Bevölkerung als Ganzes zu bestrafen, das heißt, nicht nur die Islamisten der Hamas zu bestrafen, sondern auch die Zivilbevölkerung, die Kinder, die Frauen, die Pazifisten und die Demokraten, die, wie ich betonen möchte, bei den Wahlen durch weitere 12 Listen von Kandidaten vertreten waren.",1,1.0,"
If the following sentence contains the German translation for the English word 'pacifists', tell me which overt gender it displays among Masculine, Feminine, Gender-Neutral, or Gender-Inclusive. If no translation is found, reply with None.
Sentence: 'Die Aussetzung der Hilfe bedeutet, die palästinensische Bevölkerung als Ganzes zu bestrafen, das heißt, nicht nur die Islamisten der Hamas zu bestrafen, sondern auch die Zivilbevölkerung, die Kinder, die Frauen, die Pazifisten und die Demokraten, die, wie ich betonen möchte, bei den Wahlen durch weitere 12 Listen von Kandidaten vertreten waren.'
",Masculine
42.0,pacifists,"Pacifists from the Israeli movement, Peace Now, and I myself wept at the murder of Dr Tabet Tabet, an old friend; schools closed, land confiscated to make room for fresh settlements and further suffering: 80 Israelis, including children and adolescents, killed.","Pazifisten von der israelischen Bewegung Peace Now und ich selbst weinten über den Mord an Dr. Tabet Tabet, einem alten Freund; Schulen wurden geschlossen, Land wurde konfisziert, um Platz für neue Siedlungen zu schaffen und weiteres Leid: 80 Israelis, darunter Kinder und Jugendliche, wurden getötet.",1,1.0,"
If the following sentence contains the German translation for the English word 'pacifists', tell me which overt gender it displays among Masculine, Feminine, Gender-Neutral, or Gender-Inclusive. If no translation is found, reply with None.
Sentence: 'Pazifisten von der israelischen Bewegung Peace Now und ich selbst weinten über den Mord an Dr. Tabet Tabet, einem alten Freund; Schulen wurden geschlossen, Land wurde konfisziert, um Platz für neue Siedlungen zu schaffen und weiteres Leid: 80 Israelis, darunter Kinder und Jugendliche, wurden getötet.'
","The German translation for 'pacifists' in the sentence is 'Pazifisten', which is Masculine."
43.0,pacifists,At present the necessary military action by NATO has been taken on the responsibility of a group of politicians who once upon a time loudly proclaimed themselves pacifists and opponents of war in the peace movements and are now ordering a war without wanting to dirty their hands.,"Derzeit wird die notwendige militärische Aktion von der NATO unter der Verantwortung einer Gruppe von Politikern durchgeführt, die sich einst lautstark als Pazifisten und Kriegsgegner in den Friedensbewegungen bezeichneten und nun einen Krieg befehlen, ohne sich die Hände schmutzig machen zu wollen.",,0.0,N/A,N/A
44.0,pacifists,"The European Parliament's inability to adopt any position at all on the Iraqi crisis either, specifically in the current context, reveals the complexity of the real difficulties that exist - and these can only be overcome when there is mutual respect for the existence of these differences and for the significance of these differences, leaving behind the regrettable irresponsibility of the left, the daydreams of the pacifists and the dangerous new impulses of a certain centre- European approach.","Die Unfähigkeit des Europäischen Parlaments, in der derzeitigen Situation überhaupt eine Stellungnahme zur Irak-Krise abzugeben, offenbart die Komplexität der realen Schwierigkeiten, die bestehen - und diese können nur überwunden werden, wenn es gegenseitigen Respekt für das Bestehen dieser Unterschiede und für die Bedeutung dieser Unterschiede gibt, und dabei die bedauerliche Verantwortungslosigkeit der Linken, die Tagträume der Pazifisten und die gefährlichen neuen Impulse eines bestimmten mitteleuropäischen Ansatzes hinter sich gelassen werden.",,0.0,N/A,N/A
45.0,signees,,,,0.0,N/A,N/A
46.0,addressers,,,,0.0,N/A,N/A
