seed	source	translation	src_gender	sent_count	prev_context	prev_context_count	matching	trail_context	trail_context_count	sampling_rule_applies
investors	According to Investment Promotion Agency which operates under the Ministry of Trade and Industry, shows that in Kosovo are registered 3906 foreign investors. The majority of these investors are individuals who have their own companies in the respective countries and have started their branches in Kosovo. From Switzerland, there are 112 investors focused mostly in the cities of Pristina, Peja, Gjakova, Suva Reka, Ferizaj and others. Though the number of investors is surprising, even more impressive is the employment generated by these investors.	Gemäss der Investitionsförderungsagentur, die dem Ministerium für Handel und Industrie unterstellt ist, sind im Kosovo 3906 ausländische Investoren registriert. Die meisten dieser Investoren sind Einzelpersonen, die ihre eigenen Unternehmen in den jeweiligen Ländern haben und ihre Niederlassungen im Kosovo gegründet haben. Aus der Schweiz kommen 112 Investoren, die sich vor allem auf die Städte Pristina, Peja, Gjakova, Suva Reka, Ferizaj und andere konzentrieren. Obwohl die Zahl der Investoren überraschend ist, ist die Zahl der von diesen Investoren geschaffenen Arbeitsplätze noch beeindruckender.	M	4	According to Investment Promotion Agency which operates under the Ministry of Trade and Industry, shows that in Kosovo are registered 3906 foreign investors. The majority of these investors are individuals who have their own companies in the respective countries and have started their branches in Kosovo.	2.0	From Switzerland, there are 112 investors focused mostly in the cities of Pristina, Peja, Gjakova, Suva Reka, Ferizaj and others.	Though the number of investors is surprising, even more impressive is the employment generated by these investors.	1.0	True
bloggers	Herrera was cinematographer on the 2005 Hollie Harper film Kiss and Run, which won Best Comedy in the American Theater of Harlem's Film Festival Cultures Collide. In 2010, Herrera was awarded a Narco News scholarship to the School of Authentic Journalism on the Yucatán peninsula (though he did not attend). Herrera was one of eight immigration bloggers selected  by America's Voice to receive a 2009 full scholarship award to attend Netroots Nation. In 2019, Herrera directed Pipetown, USA, his first feature length documentary.	Herrera war Kameramann bei dem Film Kiss and Run von Hollie Harper aus dem Jahr 2005, der beim Filmfestival Cultures Collide des American Theater of Harlem als beste Komödie ausgezeichnet wurde. 2010 erhielt Herrera ein Stipendium von Narco News für die School of Authentic Journalism auf der Halbinsel Yucatán (er besuchte sie allerdings nicht). 2009 war Herrera einer von acht Immigrationsbloggern, die von America's Voice ausgewählt wurden, um ein Vollstipendium für die Teilnahme an Netroots Nation zu erhalten. 2019 führte Herrera bei Pipetown, USA, seinem ersten abendfüllenden Dokumentarfilm Regie.	M	4	Herrera was cinematographer on the 2005 Hollie Harper film Kiss and Run, which won Best Comedy in the American Theater of Harlem's Film Festival Cultures Collide. In 2010, Herrera was awarded a Narco News scholarship to the School of Authentic Journalism on the Yucatán peninsula (though he did not attend).	2.0	Herrera was one of eight immigration bloggers selected  by America's Voice to receive a 2009 full scholarship award to attend Netroots Nation.	In 2019, Herrera directed Pipetown, USA, his first feature length documentary.	1.0	True
bloggers	First release  On July 15, 2019, EndeavourOS released their first ISO. The team did not expect that much of the Antergos community would follow them, but the response and the numbers of community members that joined exceeded their expectations. Not only did the community receive the first release very well, but several bloggers and vloggers gave it very positive reviews, even shortly after launch. Net-install  Immediately after the launch of the distribution, the EndeavourOS team began to develop a net-installer to install with different Desktop Environments directly over the internet.	Erste Veröffentlichung Am 15. Juli 2019 veröffentlichte EndeavourOS sein erstes ISO. Das Team hatte nicht erwartet, dass ein großer Teil der Antergos-Community ihnen folgen würde, aber die Resonanz und die Anzahl der Community-Mitglieder, die sich ihnen anschlossen, übertrafen ihre Erwartungen. Nicht nur die Community nahm die erste Veröffentlichung sehr gut auf, sondern mehrere Blogger und Vlogger gaben bereits kurz nach dem Start sehr positive Bewertungen ab. Netzinstallation Unmittelbar nach dem Start der Distribution begann das EndeavourOS-Team mit der Entwicklung eines Netzinstallationsprogramms, um verschiedene Desktop-Umgebungen direkt über das Internet zu installieren.	M	4	First release  On July 15, 2019, EndeavourOS released their first ISO. The team did not expect that much of the Antergos community would follow them, but the response and the numbers of community members that joined exceeded their expectations.	2.0	Not only did the community receive the first release very well, but several bloggers and vloggers gave it very positive reviews, even shortly after launch.	Net-install  Immediately after the launch of the distribution, the EndeavourOS team began to develop a net-installer to install with different Desktop Environments directly over the internet.	1.0	True
donors	"Resources   KPF is a non-governmental organization which relies only on private donations and does not accept public funds from any government, domestic or foreign. The largest donations have been made anonymously, and amount to several million dollars sent through an American nonprofit organization called American Friends of Kohelet Policy Forum. An investigative article published at ""Haaretz""  presented conjectures regarding the identify of some major donors, but neither KPF nor the individuals named in the article confirmed these conjectures. The Forum’s legislative research, policy papers, and other research based products are offered to Israeli decision makers for free."	"Ressourcen Das KPF ist eine Nichtregierungsorganisation, die sich ausschließlich auf private Spenden stützt und keine öffentlichen Gelder von in- oder ausländischen Regierungen annimmt. Die größten Spenden wurden anonym getätigt und belaufen sich auf mehrere Millionen Dollar, die über eine amerikanische gemeinnützige Organisation namens American Friends of Kohelet Policy Forum überwiesen wurden. In einem in ""Haaretz"" veröffentlichten Untersuchungsartikel wurden Vermutungen über die Identität einiger Großspender geäußert, die jedoch weder vom KPF noch von den in dem Artikel genannten Personen bestätigt wurden. Die legislativen Untersuchungen des Forums, politische Papiere und andere forschungsbasierte Produkte werden israelischen Entscheidungsträgern kostenlos angeboten."	M	4	Resources   KPF is a non-governmental organization which relies only on private donations and does not accept public funds from any government, domestic or foreign. The largest donations have been made anonymously, and amount to several million dollars sent through an American nonprofit organization called American Friends of Kohelet Policy Forum.	2.0	"An investigative article published at ""Haaretz""  presented conjectures regarding the identify of some major donors, but neither KPF nor the individuals named in the article confirmed these conjectures."	The Forum’s legislative research, policy papers, and other research based products are offered to Israeli decision makers for free.	1.0	True
notaries	History  The University of Ferrara was founded on March 4, 1391 by Marquis Alberto V D'Este with the permission of Pope Boniface IX. The Studium Generale was inaugurated on St. Luke's Day (October 18) of that year with courses in law, arts and theology. After the unification of Italy, Ferrara University became a free university with faculties of Law and Mathematics, a three-year course in Medicine (reduced to two years in 1863-64), as well as Schools of Veterinary Medicine (abolished in 1876), Pharmacy, and for public Notaries. After World War II, it started to be state-supported and this allowed the opening of many faculties and research departments.	Geschichte Die Universität Ferrara wurde am 4. März 1391 von Markgraf Alberto V. D'Este mit der Erlaubnis von Papst Bonifatius IX. gegründet. Das Studium Generale wurde am Tag des Heiligen Lukas (18. Oktober) desselben Jahres mit Studiengängen in Jura, Kunst und Theologie eröffnet. Nach der Vereinigung Italiens wurde die Universität Ferrara eine freie Universität mit Fakultäten für Jura und Mathematik, einem dreijährigen Medizinstudium (das 1863-64 auf zwei Jahre verkürzt wurde) sowie Schulen für Veterinärmedizin (die 1876 abgeschafft wurden), Pharmazie und für öffentliche Notare. Nach dem Zweiten Weltkrieg begann sie, staatlich unterstützt zu werden, was die Eröffnung zahlreicher Fakultäten und Forschungsabteilungen ermöglichte.	M	4	History  The University of Ferrara was founded on March 4, 1391 by Marquis Alberto V D'Este with the permission of Pope Boniface IX. The Studium Generale was inaugurated on St. Luke's Day (October 18) of that year with courses in law, arts and theology.	2.0	After the unification of Italy, Ferrara University became a free university with faculties of Law and Mathematics, a three-year course in Medicine (reduced to two years in 1863-64), as well as Schools of Veterinary Medicine (abolished in 1876), Pharmacy, and for public Notaries.	After World War II, it started to be state-supported and this allowed the opening of many faculties and research departments.	1.0	True
travellers	(NB: Air travellers require photo ID for airline security purposes.) Part of Common Travel Area — no travel document required to enter from the UK. (NB: Air travellers require photo ID for airline security purposes.) All other overseas territories require a fully valid passport.	(Hinweis: Flugreisende benötigen für die Sicherheit der Fluggesellschaft einen Lichtbildausweis.) Teil des Gemeinsamen Reisegebiets - für die Einreise aus dem Vereinigten Königreich ist kein Reisedokument erforderlich. (Hinweis: Flugreisende benötigen für die Sicherheit der Fluggesellschaft einen Lichtbildausweis.) Für alle anderen Überseegebiete ist ein vollständig gültiger Reisepass erforderlich.	Neutral	4	(NB: Air travellers require photo ID for airline security purposes.) Part of Common Travel Area — no travel document required to enter from the UK.	2.0	(NB: Air travellers require photo ID for airline security purposes.)	All other overseas territories require a fully valid passport.	1.0	True
diabetics	While Sawm is optional during most of the year (and forbidden altogether on Islam's two holiest days: Eid ul Fitr and Eid ul Adha), it is mandatory during daylight hours throughout the month of Ramadan, the ninth month of the Islamic calendar. It was during this month that the first verses of the Quran were said to have been revealed to the Prophet Muhammad. The elderly, and those whose health is endangered by fasting (such as diabetics) are excused from doing so, but are required to make up for it by feeding the poor. Proselytizing Both Muslims and Mormons are active in proselytizing those outside of their religion, inviting them to learn about their faith and adopt it for themselves, if they so decide.	Während Sawm die meiste Zeit des Jahres fakultativ ist (und an den beiden heiligsten Tagen des Islams, Eid ul Fitr und Eid ul Adha, gänzlich verboten ist), ist es im Monat Ramadan, dem neunten Monat des islamischen Kalenders, tagsüber obligatorisch. In diesem Monat sollen dem Propheten Mohammed die ersten Verse des Korans offenbart worden sein. Ältere Menschen und Menschen, deren Gesundheit durch das Fasten gefährdet ist (z. B. Diabetiker), sind vom Fasten befreit, müssen dies aber durch die Speisung der Armen ausgleichen. Proselytismus Sowohl Muslime als auch Mormonen betreiben aktiv Proselytismus für Menschen, die ihrer Religion nicht angehören, und laden sie ein, mehr über ihren Glauben zu erfahren und ihn für sich selbst anzunehmen, wenn sie sich dazu entschließen.	M	4	While Sawm is optional during most of the year (and forbidden altogether on Islam's two holiest days: Eid ul Fitr and Eid ul Adha), it is mandatory during daylight hours throughout the month of Ramadan, the ninth month of the Islamic calendar. It was during this month that the first verses of the Quran were said to have been revealed to the Prophet Muhammad.	2.0	The elderly, and those whose health is endangered by fasting (such as diabetics) are excused from doing so, but are required to make up for it by feeding the poor.	Proselytizing Both Muslims and Mormons are active in proselytizing those outside of their religion, inviting them to learn about their faith and adopt it for themselves, if they so decide.	1.0	True
administrators	It provides network transparency and permits a graphical application running on one system to be displayed on another where a user may interact with the application; however, certain extensions of the X Window System are not capable of working over the network. Several X display servers exist, with the reference implementation, X.Org Server, being the most popular. Server distributions might provide a command-line interface for developers and administrators, but provide a custom interface towards end-users, designed for the use-case of the system. This custom interface is accessed through a client that resides on another system, not necessarily Linux based.	Es bietet Netzwerktransparenz und ermöglicht es, dass eine grafische Anwendung, die auf einem System läuft, auf einem anderen System angezeigt wird, wo ein Benutzer mit der Anwendung interagieren kann; bestimmte Erweiterungen des X Window Systems sind jedoch nicht in der Lage, über das Netz zu arbeiten. Es gibt mehrere X-Anzeigeserver, wobei die Referenzimplementierung, X.Org Server, die beliebteste ist. Serverdistributionen können eine Befehlszeilenschnittstelle für Entwickler und Administratoren bereitstellen, bieten jedoch eine benutzerdefinierte Schnittstelle für Endbenutzer, die für den Anwendungsfall des Systems entwickelt wurde. Auf diese benutzerdefinierte Schnittstelle wird über einen Client zugegriffen, der sich auf einem anderen System befindet, das nicht notwendigerweise auf Linux basiert.	M	4	It provides network transparency and permits a graphical application running on one system to be displayed on another where a user may interact with the application; however, certain extensions of the X Window System are not capable of working over the network. Several X display servers exist, with the reference implementation, X.Org Server, being the most popular.	2.0	Server distributions might provide a command-line interface for developers and administrators, but provide a custom interface towards end-users, designed for the use-case of the system.	This custom interface is accessed through a client that resides on another system, not necessarily Linux based.	1.0	True
administrators	In 1688, Warmian Bishop Michał Stefan Radziejowski laid the cornerstone of a new, great Baroque church, which was consecrated in 1693 by his successor, Bishop Jan Stanisław Zbąski. From the 18th century the village was part of the Kingdom of Prussia. The Jesuit monastery was abolished, and King Frederick II of Prussia allowed the Jesuits to stay only as secular administrators of the church complex. Franciszek Ksawery Rymkiewicz became the first post-Jesuit parish priest.	1688 legte der ermländische Bischof Michał Stefan Radziejowski den Grundstein für eine neue, große Barockkirche, die 1693 von seinem Nachfolger, Bischof Jan Stanisław Zbąski, eingeweiht wurde. Ab dem 18. Jahrhundert gehörte das Dorf zum Königreich Preußen. Das Jesuitenkloster wurde aufgehoben, und König Friedrich II. von Preußen erlaubte den Jesuiten, nur als weltliche Verwalter des Kirchenkomplexes zu bleiben. Franciszek Ksawery Rymkiewicz wurde der erste nachjesuitische Pfarrer.	M	4	In 1688, Warmian Bishop Michał Stefan Radziejowski laid the cornerstone of a new, great Baroque church, which was consecrated in 1693 by his successor, Bishop Jan Stanisław Zbąski. From the 18th century the village was part of the Kingdom of Prussia.	2.0	The Jesuit monastery was abolished, and King Frederick II of Prussia allowed the Jesuits to stay only as secular administrators of the church complex.	Franciszek Ksawery Rymkiewicz became the first post-Jesuit parish priest.	1.0	True
secretaries	In some companies, the role of the corporate secretary as corporate governance adviser has been formalised, with a title such as Chief Governance Officer added to their existing title. In view of the important roles the company secretary plays in business, PLCs and large companies require the company secretary to be suitably trained, experienced and professionally qualified for these responsibilities. In the UK, the company secretary may be qualified by virtue of examination and membership of The Chartered Governance Institute (CGI), which is the main qualification specifically for company secretaries. CGI is the body dedicated to the advancement and recognition of professional administration based on a combination of degree-level studies, carefully vetted experience and sponsorship by two people of professional status.	In einigen Unternehmen wurde die Rolle des Unternehmenssekretärs als Berater für die Unternehmensführung formalisiert, indem ein Titel wie Chief Governance Officer zu seinem bestehenden Titel hinzugefügt wurde. Angesichts der wichtigen Rolle, die der Unternehmenssekretär in der Wirtschaft spielt, verlangen Aktiengesellschaften und große Unternehmen, dass der Unternehmenssekretär für diese Aufgaben angemessen ausgebildet, erfahren und professionell qualifiziert ist. Im Vereinigten Königreich kann der Unternehmenssekretär durch eine Prüfung und die Mitgliedschaft im Chartered Governance Institute (CGI) qualifiziert werden, das die Hauptqualifikation speziell für Unternehmenssekretäre darstellt. Das CGI ist die Einrichtung, die sich der Förderung und Anerkennung der professionellen Verwaltung auf der Grundlage einer Kombination aus Studium, sorgfältig geprüfter Erfahrung und der Unterstützung durch zwei Personen mit professionellem Status widmet.	M	4	In some companies, the role of the corporate secretary as corporate governance adviser has been formalised, with a title such as Chief Governance Officer added to their existing title. In view of the important roles the company secretary plays in business, PLCs and large companies require the company secretary to be suitably trained, experienced and professionally qualified for these responsibilities.	2.0	In the UK, the company secretary may be qualified by virtue of examination and membership of The Chartered Governance Institute (CGI), which is the main qualification specifically for company secretaries.	CGI is the body dedicated to the advancement and recognition of professional administration based on a combination of degree-level studies, carefully vetted experience and sponsorship by two people of professional status.	1.0	True
secretaries	He also served as a consultant to the United States Department of Defense, and was a member of the Defense Policy Board. In 2004, he served as chairman to the Independent Panel to Review DoD Detention Operations. On January 5, 2006, he participated in a meeting at the White House of former Secretaries of Defense and State to discuss United States foreign policy with Bush administration officials. On January 31, 2006, he was appointed by the Secretary of State to be a member of the Arms Control and Nonproliferation Advisory Board.	Er war auch als Berater für das Verteidigungsministerium der Vereinigten Staaten tätig und Mitglied des Defense Policy Board. 2004 war er Vorsitzender des Independent Panel to Review DoD Detention Operations. Am 5. Januar 2006 nahm er an einem Treffen ehemaliger Verteidigungs- und Außenminister im Weißen Haus teil, um mit Vertretern der Bush-Regierung über die Außenpolitik der Vereinigten Staaten zu diskutieren. Am 31. Januar 2006 wurde er vom Außenminister zum Mitglied des Arms Control and Nonproliferation Advisory Board ernannt.	M	4	He also served as a consultant to the United States Department of Defense, and was a member of the Defense Policy Board. In 2004, he served as chairman to the Independent Panel to Review DoD Detention Operations.	2.0	On January 5, 2006, he participated in a meeting at the White House of former Secretaries of Defense and State to discuss United States foreign policy with Bush administration officials.	On January 31, 2006, he was appointed by the Secretary of State to be a member of the Arms Control and Nonproliferation Advisory Board.	1.0	True
builders	The town council celebrated Christmas in a new building. The construction had lasted for two and a half years. The builders worked only in summer. A white lime coating covered the walls and left clean stone-constructions, that were made glossy, for many centuries.	Die Stadtverwaltung feierte Weihnachten in einem neuen Gebäude. Der Bau hatte zweieinhalb Jahre gedauert. Die Bauarbeiter arbeiteten nur im Sommer. Ein weißer Kalkanstrich überzog die Wände und hinterließ saubere Steinkonstruktionen, die für viele Jahrhunderte glänzend gemacht wurden.	M	4	The town council celebrated Christmas in a new building. The construction had lasted for two and a half years.	2.0	The builders worked only in summer.	A white lime coating covered the walls and left clean stone-constructions, that were made glossy, for many centuries.	1.0	True
builders	The current Manor Park Café opened in October 2010. It is eco-friendly and has a range of environmental features, including its straw-bale construction, giving the building a potential lifespan of over 200 years. It was designed by Amazonails Architectura, and constructed by a mixed team of builders. It was London's first energy-efficient building to use this construction method.	Das derzeitige Manor Park Café wurde im Oktober 2010 eröffnet. Es ist umweltfreundlich und verfügt über eine Reihe von Umweltmerkmalen, darunter die Strohballenbauweise, die dem Gebäude eine potenzielle Lebensdauer von über 200 Jahren verleiht. Es wurde von Amazonails Architectura entworfen und von einem gemischten Team von Bauunternehmern errichtet. Es war das erste energieeffiziente Gebäude Londons, das diese Bauweise verwendete.	M	4	The current Manor Park Café opened in October 2010. It is eco-friendly and has a range of environmental features, including its straw-bale construction, giving the building a potential lifespan of over 200 years.	2.0	It was designed by Amazonails Architectura, and constructed by a mixed team of builders.	It was London's first energy-efficient building to use this construction method.	1.0	True
pastors	There was precedent in the Netherlands, however. The Rev. Coetzee stated: “as far as I know, it was the first time in the history of our church that a congregation had two pastors, except for the early years of the Seminary in Burgersdorp when one of them was a school docent reimbursed by the congregation for part of his salary.”  There were thus now four pastors on the Rand, including the two in Johannesburg and the ones in Krugersdorp and Germiston. From 1919–1923, the Rev.	"In den Niederlanden gab es jedoch einen Präzedenzfall: ""Soweit ich weiß, war es das erste Mal in der Geschichte unserer Kirche, dass eine Gemeinde zwei Pastoren hatte, abgesehen von den Anfangsjahren des Seminars in Burgersdorp, als einer von ihnen ein Schuldozent war, der von der Gemeinde einen Teil seines Gehalts zurückerstattet bekam"", so Pfarrer Coetzee. Von 1919 bis 1923 gab es also nun vier Pastoren am Rand, einschließlich der beiden in Johannesburg und der in Krugersdorp und Germiston."	M	4	There was precedent in the Netherlands, however. The Rev. Coetzee stated: “as far as I know, it was the first time in the history of our church that a congregation had two pastors, except for the early years of the Seminary in Burgersdorp when one of them was a school docent reimbursed by the congregation for part of his salary.”	2.0	There were thus now four pastors on the Rand, including the two in Johannesburg and the ones in Krugersdorp and Germiston.	From 1919–1923, the Rev.	1.0	True
pastors	Fritze thus was a follower of Christoph Blumhardt, who had to give up his pastorship in 1899. Along with Erwin Eckert and Emil Fuchs, they were the first pastors in Germany who became widely recognized as socialists. In September 1919 Georg Fritze traveled to the Tambach meeting of Protestant theologians (which also gave rise to the so-called dialectical theology of the 1920s) and met Karl Barth, who, like Fritze, was one of the few prominent Protestant pastors, until he was later expelled from Germany. However, Fritze remained more of a liberal theologian.	Fritze war damit ein Nachfolger von Christoph Blumhardt, der 1899 seine Pfarrstelle aufgeben musste. Zusammen mit Erwin Eckert und Emil Fuchs waren sie die ersten Pfarrer in Deutschland, die als Sozialisten bekannt wurden. Im September 1919 reiste Georg Fritze zum Tambacher Treffen evangelischer Theologen (aus dem auch die so genannte dialektische Theologie der 1920er Jahre hervorging) und lernte Karl Barth kennen, der wie Fritze zu den wenigen prominenten evangelischen Pfarrern gehörte, bis er später aus Deutschland vertrieben wurde. Fritze blieb jedoch eher ein liberaler Theologe.	M	4	Fritze thus was a follower of Christoph Blumhardt, who had to give up his pastorship in 1899. Along with Erwin Eckert and Emil Fuchs, they were the first pastors in Germany who became widely recognized as socialists.	2.0	In September 1919 Georg Fritze traveled to the Tambach meeting of Protestant theologians (which also gave rise to the so-called dialectical theology of the 1920s) and met Karl Barth, who, like Fritze, was one of the few prominent Protestant pastors, until he was later expelled from Germany.	However, Fritze remained more of a liberal theologian.	1.0	True
influencers	This type of marketing allows for users to experience an up close and personal evaluation to be understand the product. More often than not, content creators do a full evaluation on what to expect consumer are to purchase the product they are advertising. Social media and fashion campaigns Some fashion companies have used influencers or celebrities to promote their brands with advertisements on their social media accounts. Since 2010, fashion and advertising's development coincide.	Diese Art des Marketings ermöglicht es den Nutzern, eine hautnahe und persönliche Bewertung zu erfahren, um das Produkt zu verstehen. In den meisten Fällen nehmen die Inhaltsersteller eine vollständige Bewertung vor, was die Verbraucher erwarten, wenn sie das beworbene Produkt kaufen. Soziale Medien und Modekampagnen Einige Modeunternehmen haben Influencer oder Prominente eingesetzt, um ihre Marken mit Werbung auf ihren Social-Media-Konten zu bewerben. Seit 2010 fallen die Entwicklung von Mode und Werbung zusammen.	M	4	This type of marketing allows for users to experience an up close and personal evaluation to be understand the product. More often than not, content creators do a full evaluation on what to expect consumer are to purchase the product they are advertising.	2.0	Social media and fashion campaigns Some fashion companies have used influencers or celebrities to promote their brands with advertisements on their social media accounts.	Since 2010, fashion and advertising's development coincide.	1.0	True
influencers	Aage Kya is a 2021 Indian Hindi-language interactive quiz show that aired on Flipkart Video on 28 March 2021. It is an original series of Flipkart Video directed by Utsav Chatterjee and produced under the banner of Indian storytellers. It is a daily game show featuring four social media influencers who are shown funny video clips and asked to present their perspectives. The show also allows viewers to be part of it by asking them three questions and the winners of each episode are awarded prizes by Flipkart.	Aage Kya ist eine indische interaktive Quizshow in Hindi-Sprache, die am 28. März 2021 auf Flipkart Video ausgestrahlt wurde. Es handelt sich um eine Originalserie von Flipkart Video unter der Regie von Utsav Chatterjee und produziert unter dem Banner von Indian Storytellers. Es ist eine tägliche Spielshow mit vier Social-Media-Influencern, denen lustige Videoclips gezeigt werden und die gebeten werden, ihre Sicht der Dinge darzustellen. Die Show erlaubt es auch den Zuschauern, daran teilzunehmen, indem sie ihnen drei Fragen stellen, und die Gewinner jeder Folge werden von Flipkart mit Preisen ausgezeichnet.	M	4	Aage Kya is a 2021 Indian Hindi-language interactive quiz show that aired on Flipkart Video on 28 March 2021. It is an original series of Flipkart Video directed by Utsav Chatterjee and produced under the banner of Indian storytellers.	2.0	It is a daily game show featuring four social media influencers who are shown funny video clips and asked to present their perspectives.	The show also allows viewers to be part of it by asking them three questions and the winners of each episode are awarded prizes by Flipkart.	1.0	True
influencers	He currently lives in Singapore. Career Vasudevan started his career in 1995 as a software engineer and joined PricewaterhouseCoopers Management Consulting Services as a principal consultant. He left PwC in 2004 to start his own company and founded Thought Expressions in 2008 to help people become speakers, leaders and influencers. Vasudevan has given motivational talks to multinational corporate houses for leadership, team-building, and personal breakthroughs.	Er lebt derzeit in Singapur. Karriere Vasudevan begann seine berufliche Laufbahn 1995 als Software-Ingenieur und kam als Hauptberater zu PricewaterhouseCoopers Management Consulting Services. 2004 verließ er PwC, um sein eigenes Unternehmen zu gründen, und gründete 2008 Thought Expressions, um Menschen dabei zu helfen, Redner, Führungskräfte und Beeinflusser zu werden. Vasudevan hat vor multinationalen Unternehmen Motivationsvorträge zu den Themen Führung, Teambildung und persönliche Durchbrüche gehalten.	M	4	He currently lives in Singapore. Career Vasudevan started his career in 1995 as a software engineer and joined PricewaterhouseCoopers Management Consulting Services as a principal consultant.	2.0	He left PwC in 2004 to start his own company and founded Thought Expressions in 2008 to help people become speakers, leaders and influencers.	Vasudevan has given motivational talks to multinational corporate houses for leadership, team-building, and personal breakthroughs.	1.0	True
directors	"The government said the 2018 presidential election was ""illegitimate and anti-democratic"", and sanctioned Flores, along with 13 other members of the ANC and TSJ. On 27 March 2018, Panama sanctioned 55 public officials and 16 businesses that operate in Panama, related to the family of Flores. The sanctioned businesses have members of the Malpica-Flores family on their boards of directors. The companies, headed by various members of Flores' family and recently created, were sanctioned for allegedly laundering money."	"Die Regierung bezeichnete die Präsidentschaftswahlen 2018 als ""unrechtmäßig und antidemokratisch"" und verhängte gegen Flores sowie 13 weitere Mitglieder des ANC und der TSJ Sanktionen. Am 27. März 2018 verhängte Panama Sanktionen gegen 55 öffentliche Bedienstete und 16 in Panama tätige Unternehmen, die mit der Familie von Flores in Verbindung stehen. In den Vorständen der sanktionierten Unternehmen sitzen Mitglieder der Familie Malpica-Flores. Die Unternehmen, die von verschiedenen Mitgliedern der Familie Flores geleitet und erst kürzlich gegründet wurden, wurden wegen angeblicher Geldwäsche sanktioniert."	Neutral	4	"The government said the 2018 presidential election was ""illegitimate and anti-democratic"", and sanctioned Flores, along with 13 other members of the ANC and TSJ. On 27 March 2018, Panama sanctioned 55 public officials and 16 businesses that operate in Panama, related to the family of Flores."	2.0	The sanctioned businesses have members of the Malpica-Flores family on their boards of directors.	The companies, headed by various members of Flores' family and recently created, were sanctioned for allegedly laundering money.	1.0	True
directors	As the Democratic candidate is overwhelmingly favored to win the mayoralship in November, this will possibly be the first time that a socialist will be mayor of a major American city since 1960. COVID-19 pandemic: Michigan lifts its face mask requirements and capacity restrictions on indoor events. Masks are still required for nursing homes, prisons, hospitals, schools, funeral directors, and agricultural workers. Usage at businesses is optional.	Da der Kandidat der Demokraten mit überwältigender Mehrheit für das Amt des Bürgermeisters im November favorisiert wird, wird dies möglicherweise das erste Mal seit 1960 sein, dass ein Sozialist Bürgermeister einer amerikanischen Großstadt wird. COVID-19-Pandemie: Michigan hebt die Vorschriften für Gesichtsmasken und die Kapazitätsbeschränkungen für Veranstaltungen in geschlossenen Räumen auf. Für Pflegeheime, Gefängnisse, Krankenhäuser, Schulen, Bestattungsunternehmen und Landarbeiter sind Masken nach wie vor vorgeschrieben. Die Verwendung in Unternehmen ist freiwillig.	Neutral	4	As the Democratic candidate is overwhelmingly favored to win the mayoralship in November, this will possibly be the first time that a socialist will be mayor of a major American city since 1960. COVID-19 pandemic: Michigan lifts its face mask requirements and capacity restrictions on indoor events.	2.0	Masks are still required for nursing homes, prisons, hospitals, schools, funeral directors, and agricultural workers.	Usage at businesses is optional.	1.0	True
prosecutors	In June 2020, police in the German city Braunschweig stated there was a new suspect in Madeleine's disappearance. In October 2021 the Daily Mirror reported that German public prosecutor Hans Christian Wolters was convinced that paedophile Christian Brückner abducted and murdered the child. German prosecutors hope to be able to bring charges in 2022. Madeleine's disappearance attracted sustained international interest and saturation coverage in the UK, reminiscent of the death of Princess Diana in 1997.	Im Juni 2020 gab die Polizei in Braunschweig bekannt, dass es einen neuen Verdächtigen im Fall des Verschwindens von Madeleine gibt. Im Oktober 2021 berichtete der Daily Mirror, dass der deutsche Staatsanwalt Hans Christian Wolters davon überzeugt ist, dass der pädophile Christian Brückner das Kind entführt und ermordet hat. Die deutsche Staatsanwaltschaft hofft, im Jahr 2022 Anklage erheben zu können. Madeleines Verschwinden erregte internationales Interesse und führte zu einer umfassenden Berichterstattung in Großbritannien, die an den Tod von Prinzessin Diana im Jahr 1997 erinnerte.	Neutral	4	In June 2020, police in the German city Braunschweig stated there was a new suspect in Madeleine's disappearance. In October 2021 the Daily Mirror reported that German public prosecutor Hans Christian Wolters was convinced that paedophile Christian Brückner abducted and murdered the child.	2.0	German prosecutors hope to be able to bring charges in 2022.	Madeleine's disappearance attracted sustained international interest and saturation coverage in the UK, reminiscent of the death of Princess Diana in 1997.	1.0	True
