rid	seed	source	translation	src_gender	sent_count	prev_context	prev_context_count	matching	trail_context	trail_context_count	sampling_rule_applies
19	recipients	To step up the effort of dissociation with Yakuza, the Japanese Bankers Association's members, including SMBC Group, started to compile their own lists on Yakuza and other so-called anti-social forces to keep undesirable persons from using their services to perform transactions. 2012 SMBC Nikko Securities insider trading probe  In June 2012, an employee of SMBC Nikko securities was arrested for alleged insider trading due to the suspicion of having leaked information on tender offers. The employee allegedly provided leaked information on tender offers for at least more than 10 firms to a company top personnel and other recipients. One of the information was regarding management buyout bid by a wine trading house, Enoteca Co., before the takeover bid plan was announced in February of when it was listed on the Tokyo Stock Exchange's Second Section.	Um die Distanzierung von der Yakuza zu verstärken, begannen die Mitglieder der japanischen Bankenvereinigung, darunter auch die SMBC-Gruppe, eigene Listen über die Yakuza und andere so genannte antisoziale Kräfte zu erstellen, um unerwünschte Personen davon abzuhalten, ihre Dienste für die Durchführung von Transaktionen in Anspruch zu nehmen. 2012 SMBC Nikko Securities Insiderhandelsuntersuchung Im Juni 2012 wurde ein Angestellter von SMBC Nikko Securities wegen angeblichen Insiderhandels verhaftet, weil er im Verdacht stand, Informationen über Übernahmeangebote weitergegeben zu haben. Der Angestellte soll Informationen über Übernahmeangebote für mindestens mehr als zehn Unternehmen an einen leitenden Angestellten des Unternehmens und andere Empfänger weitergegeben haben. Eine der Informationen betraf ein Übernahmeangebot des Managements des Weinhandelsunternehmens Enoteca Co., bevor der Plan für das Übernahmeangebot im Februar bekannt gegeben wurde, als das Unternehmen an der zweiten Sektion der Tokioter Börse notiert war.	M	5						False
20	reformers	Tammany Hall from the 1880s and onward built a strong network of local clubs that attracted ambitious middle-class ethnics. In times of crisis however, especially in the severe depressions of the 1890s and the 1930s, the reformers took control of key offices, notably the mayor's office. The reformers were never unified; they operated through a complex network of independent civic reform groups, each focusing its lobbying efforts on its own particular reform agenda. Membership included civic-minded, well-educated middle-class men and women, usually with expert skills in a profession or business, who deeply distrusted the corruption of the machines.	Tammany Hall baute ab den 1880er Jahren ein starkes Netzwerk lokaler Clubs auf, das ehrgeizige Angehörige der Mittelschicht anzog. In Krisenzeiten, vor allem in den schweren Depressionen der 1890er und 1930er Jahre, übernahmen die Reformer jedoch die Kontrolle über wichtige Ämter, insbesondere das Amt des Bürgermeisters. Die Reformer waren nie einheitlich; sie operierten über ein komplexes Netzwerk unabhängiger bürgerlicher Reformgruppen, die ihre Lobbyarbeit jeweils auf ihre eigene Reformagenda konzentrierten. Zu den Mitgliedern zählten bürgerlich gesinnte, gut ausgebildete Männer und Frauen aus der Mittelschicht, die in der Regel über Fachkenntnisse in einem Beruf oder Geschäft verfügten und der Korruption der Maschinen zutiefst misstrauten.	M	4	Tammany Hall from the 1880s and onward built a strong network of local clubs that attracted ambitious middle-class ethnics. In times of crisis however, especially in the severe depressions of the 1890s and the 1930s, the reformers took control of key offices, notably the mayor's office.	2.0	The reformers were never unified; they operated through a complex network of independent civic reform groups, each focusing its lobbying efforts on its own particular reform agenda.	Membership included civic-minded, well-educated middle-class men and women, usually with expert skills in a profession or business, who deeply distrusted the corruption of the machines.	1.0	True
21	reformers	Sharda Mehta (26 June 1882 – 13 November 1970) was an Indian social worker, proponent of women's education, and a Gujarati writer. Born to a family of social reformers, she was one of the first two women graduates in the modern-day Gujarat state of India. She established institutes for women's education and women's welfare.	Sharda Mehta (26. Juni 1882 - 13. November 1970) war eine indische Sozialarbeiterin, Verfechterin der Frauenbildung und Schriftstellerin aus Gujarati. Sie stammte aus einer Familie von Sozialreformern und war eine der ersten beiden Akademikerinnen im heutigen indischen Bundesstaat Gujarat. Sie gründete Institute für Frauenbildung und Frauenwohlfahrt.	M	3						False
23	reformers	Psychiatrists, also known as medical superintendents, collaborated with architects to enhance the new social environment of the insane asylum. A series of plans, such as the Kirkbride plan and the Cottage plan, resulted from this collaboration, developed using theories that would help facilitate the treatment of patients. Kirkbride Plan  The Quaker reformers, including Samuel Tuke, who promoted the moral treatment, as it was called, argued that patients should be unchained, granted respect, encouraged to perform occupational tasks (like farming, carpentry, or laundry), and allowed to stroll the grounds with an attendant and attend occasional dances. While the moral treatment could, with difficulty, be employed in an old house or adapted almshouse, this situation was considered a sad compromise.	Psychiater, die auch als medizinische Oberaufseher bezeichnet wurden, arbeiteten mit Architekten zusammen, um das neue soziale Umfeld des Irrenhauses zu verbessern. Aus dieser Zusammenarbeit entstand eine Reihe von Plänen, wie der Kirkbride-Plan und der Cottage-Plan, die auf der Grundlage von Theorien entwickelt wurden, die die Behandlung der Patienten erleichtern sollten. Kirkbride-Plan Die Quäker-Reformer, darunter Samuel Tuke, die die so genannte moralische Behandlung propagierten, vertraten die Ansicht, dass die Patienten von den Ketten befreit werden sollten, dass ihnen Respekt entgegengebracht werden sollte, dass sie ermutigt werden sollten, einer Beschäftigung nachzugehen (z. B. in der Landwirtschaft, der Schreinerei oder der Wäscherei), und dass es ihnen gestattet werden sollte, in Begleitung eines Pflegers über das Gelände zu spazieren und gelegentlich an Tanzveranstaltungen teilzunehmen. Die moralische Behandlung konnte zwar nur schwer in einem alten Haus oder einem angepassten Armenhaus angewandt werden, doch wurde diese Situation als trauriger Kompromiss betrachtet.	M	4	Psychiatrists, also known as medical superintendents, collaborated with architects to enhance the new social environment of the insane asylum. A series of plans, such as the Kirkbride plan and the Cottage plan, resulted from this collaboration, developed using theories that would help facilitate the treatment of patients.	2.0	Kirkbride Plan  The Quaker reformers, including Samuel Tuke, who promoted the moral treatment, as it was called, argued that patients should be unchained, granted respect, encouraged to perform occupational tasks (like farming, carpentry, or laundry), and allowed to stroll the grounds with an attendant and attend occasional dances.	While the moral treatment could, with difficulty, be employed in an old house or adapted almshouse, this situation was considered a sad compromise.	1.0	True
25	colleagues	In some stories it is believed that the 1000 cranes must be completed within one year and they must all be made by the person who is to make the wish at the end. Cultural significance A thousand paper cranes are often given to a person who is seriously ill, to wish for their recovery. They are usually created by friends, classmates, or colleagues as a collective effort. Another common use is for sport teams or athletes, wishing them victories.	In einigen Geschichten heißt es, dass die 1000 Kraniche innerhalb eines Jahres fertiggestellt werden müssen und dass die Person, die am Ende den Wunsch äußert, alle Kraniche anfertigen muss. Kulturelle Bedeutung Tausend Papierkraniche werden oft einer schwerkranken Person geschenkt, um deren Genesung zu wünschen. Sie werden normalerweise von Freunden, Klassenkameraden oder Kollegen in gemeinsamer Anstrengung angefertigt. Eine weitere gängige Verwendung ist die für Sportmannschaften oder Sportler, um ihnen Siege zu wünschen.	M	4	In some stories it is believed that the 1000 cranes must be completed within one year and they must all be made by the person who is to make the wish at the end. Cultural significance A thousand paper cranes are often given to a person who is seriously ill, to wish for their recovery.	2.0	They are usually created by friends, classmates, or colleagues as a collective effort.	Another common use is for sport teams or athletes, wishing them victories.	1.0	True
26	colleagues	"His other children were Marie Marcienne Alice (1894–1979); Louise (born and died in 1896); Irja Louise Mercedes (1899–1976); and Ahti Victor August (1902–1958). Magnusson described him as ""a person of retiring habits contented with the bare necessities of life"" in his obituary. He recalled the occasion of Vainio's 70th birthday party, where he was visited in his home by a group of colleagues from the University of Turku. Although Vainio seemed to be uncomfortable with the attention, he was always willing to draw on his extensive knowledge and impressive memory to give advice and information to inquiring lichenologists."	"Seine weiteren Kinder waren Marie Marcienne Alice (1894-1979), Louise (geboren und gestorben 1896), Irja Louise Mercedes (1899-1976) und Ahti Victor August (1902-1958). Magnusson beschrieb ihn in seinem Nachruf als ""einen Menschen mit zurückhaltenden Gewohnheiten, der sich mit dem Nötigsten begnügte"". Er erinnerte sich an die Feier zu Vainios 70. Geburtstag, bei der er von einer Gruppe von Kollegen der Universität Turku in seinem Haus besucht wurde. Obwohl Vainio sich mit der Aufmerksamkeit unwohl zu fühlen schien, war er stets bereit, sein umfangreiches Wissen und sein beeindruckendes Gedächtnis zu nutzen, um fragenden Lichenologen Ratschläge und Informationen zu geben."	M	4	"His other children were Marie Marcienne Alice (1894–1979); Louise (born and died in 1896); Irja Louise Mercedes (1899–1976); and Ahti Victor August (1902–1958). Magnusson described him as ""a person of retiring habits contented with the bare necessities of life"" in his obituary."	2.0	He recalled the occasion of Vainio's 70th birthday party, where he was visited in his home by a group of colleagues from the University of Turku.	Although Vainio seemed to be uncomfortable with the attention, he was always willing to draw on his extensive knowledge and impressive memory to give advice and information to inquiring lichenologists.	1.0	True
28	colleagues	She is later saved from her relationship with the drug dealer by her former partner, Robert Clifton. Oliver Milburn as DCI Scott Vaughan (series 2): a detective chief inspector brought in following the arrest of DCI Harry Hutchinson. Scott is ambitious in his role and is dedicated to his colleagues at Holby South. James Thornton as Constable Jake Loughton (series 2): a constable transferred to Holby South from elsewhere.	Später wird sie von ihrem ehemaligen Partner Robert Clifton aus ihrer Beziehung mit dem Drogendealer gerettet. Oliver Milburn als DCI Scott Vaughan (Serie 2): ein Detective Chief Inspector, der nach der Verhaftung von DCI Harry Hutchinson eingestellt wurde. Scott ist ehrgeizig in seiner Rolle und engagiert sich für seine Kollegen in Holby South. James Thornton als Constable Jake Loughton (Serie 2): ein Constable, der von einem anderen Ort nach Holby South versetzt wurde.	M	4	She is later saved from her relationship with the drug dealer by her former partner, Robert Clifton. Oliver Milburn as DCI Scott Vaughan (series 2): a detective chief inspector brought in following the arrest of DCI Harry Hutchinson.	2.0	Scott is ambitious in his role and is dedicated to his colleagues at Holby South.	James Thornton as Constable Jake Loughton (series 2): a constable transferred to Holby South from elsewhere.	1.0	True
30	patients	The final approach involves creating transgenic mice with a GAA-expanded version of the human frataxin gene. These mice are called YG22R (one GAA sequence of 190 repeats) and YG22R (two GAA sequences of 90 and 190 repeats). These mice show symptoms similar to human patients. An overexpression of frataxin in Drosophila has shown an increase in antioxidant capability, resistance to oxidative stress insults and longevity, supporting the theory that the role of frataxin is to protect the mitochondria from oxidative stress and the ensuing cellular damage.	Der letzte Ansatz besteht darin, transgene Mäuse mit einer GAA-erweiterten Version des menschlichen Frataxin-Gens zu schaffen. Diese Mäuse werden YG22R (eine GAA-Sequenz mit 190 Wiederholungen) und YG22R (zwei GAA-Sequenzen mit 90 und 190 Wiederholungen) genannt. Diese Mäuse zeigen ähnliche Symptome wie menschliche Patienten. Eine Überexpression von Frataxin in Drosophila hat eine Steigerung der antioxidativen Fähigkeiten, der Resistenz gegen oxidativen Stress und der Langlebigkeit gezeigt, was die Theorie unterstützt, dass die Rolle von Frataxin darin besteht, die Mitochondrien vor oxidativem Stress und den daraus resultierenden Zellschäden zu schützen.	M	4	The final approach involves creating transgenic mice with a GAA-expanded version of the human frataxin gene. These mice are called YG22R (one GAA sequence of 190 repeats) and YG22R (two GAA sequences of 90 and 190 repeats).	2.0	These mice show symptoms similar to human patients.	An overexpression of frataxin in Drosophila has shown an increase in antioxidant capability, resistance to oxidative stress insults and longevity, supporting the theory that the role of frataxin is to protect the mitochondria from oxidative stress and the ensuing cellular damage.	1.0	True
32	patients	The eating disturbance does not occur exclusively during the course of anorexia nervosa or bulimia nervosa, and there is no evidence of a disturbance in the way in which one's body weight or shape is experienced. The eating disturbance is not attributable to a current medical condition or not better explained by another mental disorder. When the eating disturbance occurs in the context of another condition or disorder, the severity of the eating disturbance exceeds that routinely associated with the condition or disorder and warrants additional clinical attention  Recent research suggests that patients meeting criteria for ARFID typically have a longer history of symptoms prior to diagnosis, and an earlier onset than AN or BN patients. Selective eating is persistent in ARFID patients, typically beginning in infancy or early childhood.	Die Essstörung tritt nicht ausschließlich im Rahmen einer Anorexia nervosa oder Bulimia nervosa auf, und es gibt keine Anzeichen für eine Störung der Wahrnehmung des Körpergewichts oder der Körperform. Die Essstörung ist nicht auf eine aktuelle medizinische Erkrankung zurückzuführen oder lässt sich nicht besser durch eine andere psychische Störung erklären. Wenn die Essstörung im Zusammenhang mit einer anderen Erkrankung oder Störung auftritt, übersteigt der Schweregrad der Essstörung denjenigen, der routinemäßig mit der Erkrankung oder Störung assoziiert wird, und erfordert zusätzliche klinische Aufmerksamkeit. Neuere Forschungsergebnisse deuten darauf hin, dass Patienten, die die Kriterien für ARFID erfüllen, typischerweise eine längere Vorgeschichte von Symptomen vor der Diagnose und einen früheren Beginn haben als AN- oder BN-Patienten. Selektives Essen ist bei ARFID-Patienten persistent und beginnt typischerweise im Säuglings- oder frühen Kindesalter.	M	4	The eating disturbance does not occur exclusively during the course of anorexia nervosa or bulimia nervosa, and there is no evidence of a disturbance in the way in which one's body weight or shape is experienced. The eating disturbance is not attributable to a current medical condition or not better explained by another mental disorder.	2.0	When the eating disturbance occurs in the context of another condition or disorder, the severity of the eating disturbance exceeds that routinely associated with the condition or disorder and warrants additional clinical attention  Recent research suggests that patients meeting criteria for ARFID typically have a longer history of symptoms prior to diagnosis, and an earlier onset than AN or BN patients.	Selective eating is persistent in ARFID patients, typically beginning in infancy or early childhood.	1.0	True
33	patients	A total of fifty-five activists were admitted to the Israeli hospitals of Hadassah, Sheba, Rambam, Rabin, and Barzilai. Nine of the activists were in severe condition, and some underwent surgery at Rambam and Sheba hospitals. Several patients were transferred from Rabin Medical Center to Israel Prison Service medical facilities. The Turkish government sent Turkish Red Crescent personnel to Israel to treat the injured.	Insgesamt wurden fünfundfünfzig Aktivisten in die israelischen Krankenhäuser Hadassah, Sheba, Rambam, Rabin und Barzilai eingeliefert. Neun der Aktivisten befanden sich in schwerem Zustand, einige wurden in den Krankenhäusern Rambam und Sheba operiert. Mehrere Patienten wurden vom Rabin Medical Center in die medizinischen Einrichtungen des israelischen Gefängnisdienstes verlegt. Die türkische Regierung entsandte Personal des Türkischen Roten Halbmonds nach Israel, um die Verletzten zu behandeln.	M	4	A total of fifty-five activists were admitted to the Israeli hospitals of Hadassah, Sheba, Rambam, Rabin, and Barzilai. Nine of the activists were in severe condition, and some underwent surgery at Rambam and Sheba hospitals.	2.0	Several patients were transferred from Rabin Medical Center to Israel Prison Service medical facilities.	The Turkish government sent Turkish Red Crescent personnel to Israel to treat the injured.	1.0	True
40	ceramists	The  is located in Arita Town, Nishimatsuura District, Saga Prefecture. Sueyama Shrine has a porcelain archway and other items of porcelain which, at other shrines, are usually made of stone. This shrine was and still is particularly revered by Arita’s ceramists. History  It is dedicated to Emperor Ōjin, Nabeshima Naoshige, and Yi Sam-pyeong.	Er befindet sich in der Stadt Arita, Bezirk Nishimatsuura, Präfektur Saga. Der Sueyama-Schrein besitzt einen Porzellanbogen und andere Gegenstände aus Porzellan, die an anderen Schreinen normalerweise aus Stein gefertigt sind. Dieser Schrein wurde und wird besonders von den Keramikern Aritas verehrt. Geschichte Er ist Kaiser Ōjin, Nabeshima Naoshige und Yi Sam-pyeong gewidmet.	M	5						False
41	ceramists	"Monument to Tendryakov  Vladimir Fedorovich Tendryakov is a Russian Soviet writer, author of acutely conflict stories about the spiritual and moral problems of contemporary life, acute problems of Soviet society, about life in the countryside. ""Train kiln"" Vaga  In August 2020, in the village of Makarovskaya, the first ""train kiln""–type wood-fired ceramic kiln appeared in Russia. A team of ceramists under the leadership of the Vologda master Vladimir Kholshchagin built the kiln in 5 days, the stove was named ""Vaga"". The peculiarity is that the kiln has two burners."	"Denkmal für Tendrjakow Wladimir Fjodorowitsch Tendrjakow ist ein russischer sowjetischer Schriftsteller, Autor konfliktreicher Geschichten über die geistigen und moralischen Probleme des zeitgenössischen Lebens, über die akuten Probleme der sowjetischen Gesellschaft und über das Leben auf dem Lande. ""Zugofen"" Vaga Im August 2020 wurde im Dorf Makarowskaja der erste holzbefeuerte Keramikofen des Typs ""Zugofen"" in Russland aufgestellt. Ein Team von Keramikern unter der Leitung des Wologdaer Meisters Wladimir Cholschtschagin baute den Ofen in fünf Tagen, der Ofen erhielt den Namen ""Vaga"". Die Besonderheit ist, dass der Ofen zwei Brenner hat."	M	4	"Monument to Tendryakov  Vladimir Fedorovich Tendryakov is a Russian Soviet writer, author of acutely conflict stories about the spiritual and moral problems of contemporary life, acute problems of Soviet society, about life in the countryside. ""Train kiln"" Vaga  In August 2020, in the village of Makarovskaya, the first ""train kiln""–type wood-fired ceramic kiln appeared in Russia."	2.0	"A team of ceramists under the leadership of the Vologda master Vladimir Kholshchagin built the kiln in 5 days, the stove was named ""Vaga""."	The peculiarity is that the kiln has two burners.	1.0	True
