rid	seed	source	translation	src_gender	sent_count	prev_context	prev_context_count	matching	trail_context	trail_context_count	sampling_rule_applies
19	recipients	To step up the effort of dissociation with Yakuza, the Japanese Bankers Association's members, including SMBC Group, started to compile their own lists on Yakuza and other so-called anti-social forces to keep undesirable persons from using their services to perform transactions. 2012 SMBC Nikko Securities insider trading probe  In June 2012, an employee of SMBC Nikko securities was arrested for alleged insider trading due to the suspicion of having leaked information on tender offers. The employee allegedly provided leaked information on tender offers for at least more than 10 firms to a company top personnel and other recipients. One of the information was regarding management buyout bid by a wine trading house, Enoteca Co., before the takeover bid plan was announced in February of when it was listed on the Tokyo Stock Exchange's Second Section.	Um die Bemühungen zur Distanzierung von der Yakuza zu intensivieren, begannen die Mitglieder des japanischen Bankenverbandes, einschließlich der SMBC Group, eigene Listen über die Yakuza und andere sogenannte antisoziale Gruppierungen zu erstellen, um unerwünschte Personen daran zu hindern, ihre Dienste für Transaktionen zu nutzen. Untersuchung zum Insiderhandel bei SMBC Nikko Securities im Jahr 2012  Im Juni 2012 wurde ein Mitarbeiter von SMBC Nikko Securities wegen des Verdachts auf Insiderhandel festgenommen. Der Mitarbeiter soll Informationen über öffentliche Angebote an mindestens mehr als 10 Unternehmen an einen ranghohen Mitarbeiter des Unternehmens und andere Empfänger weitergegeben haben. Eine der Informationen betraf das Übernahmeangebot eines Weinhandelshauses, Enoteca Co., bevor der Übernahmeplan im Februar bekannt gegeben wurde, als es an der zweiten Sektion der Tokioter Börse notiert war.	M	5						False
20	reformers	Tammany Hall from the 1880s and onward built a strong network of local clubs that attracted ambitious middle-class ethnics. In times of crisis however, especially in the severe depressions of the 1890s and the 1930s, the reformers took control of key offices, notably the mayor's office. The reformers were never unified; they operated through a complex network of independent civic reform groups, each focusing its lobbying efforts on its own particular reform agenda. Membership included civic-minded, well-educated middle-class men and women, usually with expert skills in a profession or business, who deeply distrusted the corruption of the machines.	Tammany Hall baute ab den 1880er Jahren ein starkes Netzwerk lokaler Clubs auf, das ehrgeizige mittelständische Einwanderer anzog. In Krisenzeiten, insbesondere während der schweren Wirtschaftskrisen der 1890er und 1930er Jahre, übernahmen jedoch die Reformisten wichtige Ämter, insbesondere das des Bürgermeisters. Die Reformisten waren nie vereint; sie arbeiteten über ein komplexes Netzwerk unabhängiger Bürgerreformgruppen, von denen sich jede auf ihre eigene spezifische Reformagenda konzentrierte. Die Mitgliedschaft umfasste bürgerlich gesinnte, gut ausgebildete Männer und Frauen der Mittelschicht, normalerweise mit Fachkenntnissen in einem Beruf oder Geschäft, die dem Korruptionsdenken der etablierten Organisationen tief misstrauten.	M	4	Tammany Hall from the 1880s and onward built a strong network of local clubs that attracted ambitious middle-class ethnics. In times of crisis however, especially in the severe depressions of the 1890s and the 1930s, the reformers took control of key offices, notably the mayor's office.	2.0	The reformers were never unified; they operated through a complex network of independent civic reform groups, each focusing its lobbying efforts on its own particular reform agenda.	Membership included civic-minded, well-educated middle-class men and women, usually with expert skills in a profession or business, who deeply distrusted the corruption of the machines.	1.0	True
21	reformers	Sharda Mehta (26 June 1882 – 13 November 1970) was an Indian social worker, proponent of women's education, and a Gujarati writer. Born to a family of social reformers, she was one of the first two women graduates in the modern-day Gujarat state of India. She established institutes for women's education and women's welfare.	Sharda Mehta (26. Juni 1882 – 13. November 1970) war eine indische Sozialarbeiterin, Befürworterin der Frauenbildung und eine gujaratische Schriftstellerin. Sie wurde in einer Familie von Sozialreformern geboren und war eine der ersten beiden Frauenabsolventinnen im heutigen Bundesstaat Gujarat in Indien. Sie gründete Einrichtungen für die Frauenbildung und das Wohlergehen von Frauen.	M	3						False
23	reformers	Psychiatrists, also known as medical superintendents, collaborated with architects to enhance the new social environment of the insane asylum. A series of plans, such as the Kirkbride plan and the Cottage plan, resulted from this collaboration, developed using theories that would help facilitate the treatment of patients. Kirkbride Plan  The Quaker reformers, including Samuel Tuke, who promoted the moral treatment, as it was called, argued that patients should be unchained, granted respect, encouraged to perform occupational tasks (like farming, carpentry, or laundry), and allowed to stroll the grounds with an attendant and attend occasional dances. While the moral treatment could, with difficulty, be employed in an old house or adapted almshouse, this situation was considered a sad compromise.	Psychiater, auch bekannt als ärztliche Oberärzte, arbeiteten mit Architekten zusammen, um die neue soziale Umgebung des Irrenhauses zu verbessern. Eine Reihe von Plänen, wie der Kirkbride-Plan und der Cottage-Plan, resultierten aus dieser Zusammenarbeit und wurden unter Verwendung von Theorien entwickelt, die die Behandlung der Patienten erleichtern sollten. Kirkbride-Plan  Die Quäkerreformer, einschließlich Samuel Tuke, der die sogenannte moralische Behandlung befürwortete, argumentierten, dass die Patienten entfesselt, respektiert, zur Ausübung beruflicher Aufgaben ermutigt (wie Landwirtschaft, Schreinerei oder Wäscherei) und dazu befähigt werden sollten, mit einem Betreuer über das Gelände zu schlendern und gelegentlich an Tanzveranstaltungen teilzunehmen. Während die moralische Behandlung mit Schwierigkeiten in einem alten Haus oder einer adaptierten Armenhaus angewandt werden konnte, wurde diese Situation als trauriger Kompromiss betrachtet.	M	4	Psychiatrists, also known as medical superintendents, collaborated with architects to enhance the new social environment of the insane asylum. A series of plans, such as the Kirkbride plan and the Cottage plan, resulted from this collaboration, developed using theories that would help facilitate the treatment of patients.	2.0	Kirkbride Plan  The Quaker reformers, including Samuel Tuke, who promoted the moral treatment, as it was called, argued that patients should be unchained, granted respect, encouraged to perform occupational tasks (like farming, carpentry, or laundry), and allowed to stroll the grounds with an attendant and attend occasional dances.	While the moral treatment could, with difficulty, be employed in an old house or adapted almshouse, this situation was considered a sad compromise.	1.0	True
26	colleagues	"His other children were Marie Marcienne Alice (1894–1979); Louise (born and died in 1896); Irja Louise Mercedes (1899–1976); and Ahti Victor August (1902–1958). Magnusson described him as ""a person of retiring habits contented with the bare necessities of life"" in his obituary. He recalled the occasion of Vainio's 70th birthday party, where he was visited in his home by a group of colleagues from the University of Turku. Although Vainio seemed to be uncomfortable with the attention, he was always willing to draw on his extensive knowledge and impressive memory to give advice and information to inquiring lichenologists."	"Seine anderen Kinder waren Marie Marcienne Alice (1894–1979); Louise (geboren und gestorben 1896); Irja Louise Mercedes (1899–1976); und Ahti Victor August (1902–1958). Magnusson beschrieb ihn in seinem Nachruf als ""eine Person von zurückhaltenden Gewohnheiten, zufrieden mit den grundlegenden Notwendigkeiten des Lebens"". Er erinnerte sich an den Anlass von Vainios 70. Geburtstagsfeier, bei der er in seinem Zuhause von einer Gruppe von Kollegen von der Universität Turku besucht wurde. Obwohl Vainio anscheinend unbehaglich mit der Aufmerksamkeit war, war er immer bereit, sein umfangreiches Wissen und beeindruckendes Gedächtnis zu nutzen, um Rat und Informationen an fragende Flechtenforscher weiterzugeben."	M	4	"His other children were Marie Marcienne Alice (1894–1979); Louise (born and died in 1896); Irja Louise Mercedes (1899–1976); and Ahti Victor August (1902–1958). Magnusson described him as ""a person of retiring habits contented with the bare necessities of life"" in his obituary."	2.0	He recalled the occasion of Vainio's 70th birthday party, where he was visited in his home by a group of colleagues from the University of Turku.	Although Vainio seemed to be uncomfortable with the attention, he was always willing to draw on his extensive knowledge and impressive memory to give advice and information to inquiring lichenologists.	1.0	True
28	colleagues	She is later saved from her relationship with the drug dealer by her former partner, Robert Clifton. Oliver Milburn as DCI Scott Vaughan (series 2): a detective chief inspector brought in following the arrest of DCI Harry Hutchinson. Scott is ambitious in his role and is dedicated to his colleagues at Holby South. James Thornton as Constable Jake Loughton (series 2): a constable transferred to Holby South from elsewhere.	Sie wird später von ihrer Beziehung mit dem Drogenhändler von ihrem früheren Partner, Robert Clifton, gerettet. Oliver Milburn als DCI Scott Vaughan (Staffel 2): ein Detektiv-Inspektor, der nach der Festnahme von DCI Harry Hutchinson hinzugezogen wird. Scott ist ehrgeizig in seiner Rolle und engagiert sich für seine Kollegen bei Holby South. James Thornton als Wachtmeister Jake Loughton (Staffel 2): ein Wachtmeister, der von einem anderen Ort nach Holby South versetzt wird.	M	4	She is later saved from her relationship with the drug dealer by her former partner, Robert Clifton. Oliver Milburn as DCI Scott Vaughan (series 2): a detective chief inspector brought in following the arrest of DCI Harry Hutchinson.	2.0	Scott is ambitious in his role and is dedicated to his colleagues at Holby South.	James Thornton as Constable Jake Loughton (series 2): a constable transferred to Holby South from elsewhere.	1.0	True
30	patients	The final approach involves creating transgenic mice with a GAA-expanded version of the human frataxin gene. These mice are called YG22R (one GAA sequence of 190 repeats) and YG22R (two GAA sequences of 90 and 190 repeats). These mice show symptoms similar to human patients. An overexpression of frataxin in Drosophila has shown an increase in antioxidant capability, resistance to oxidative stress insults and longevity, supporting the theory that the role of frataxin is to protect the mitochondria from oxidative stress and the ensuing cellular damage.	Der endgültige Ansatz beinhaltet die Erstellung von transgenen Mäusen mit einer GAA-erweiterten Version des menschlichen Frataxingens. Diese Mäuse werden YG22R (eine GAA-Sequenz von 190 Wiederholungen) und YG22R (zwei GAA-Sequenzen von 90 und 190 Wiederholungen) genannt. Diese Mäuse zeigen ähnliche Symptome wie menschliche Patienten. Eine Überexpression von Frataxin in Drosophila hat eine erhöhte antioxidative Fähigkeit, Widerstandsfähigkeit gegen oxidative Stressbelastungen und Langlebigkeit gezeigt, was die Theorie unterstützt, dass die Rolle von Frataxin darin besteht, die Mitochondrien vor oxidativem Stress und den daraus resultierenden zellulären Schäden zu schützen.	M	4	The final approach involves creating transgenic mice with a GAA-expanded version of the human frataxin gene. These mice are called YG22R (one GAA sequence of 190 repeats) and YG22R (two GAA sequences of 90 and 190 repeats).	2.0	These mice show symptoms similar to human patients.	An overexpression of frataxin in Drosophila has shown an increase in antioxidant capability, resistance to oxidative stress insults and longevity, supporting the theory that the role of frataxin is to protect the mitochondria from oxidative stress and the ensuing cellular damage.	1.0	True
32	patients	The eating disturbance does not occur exclusively during the course of anorexia nervosa or bulimia nervosa, and there is no evidence of a disturbance in the way in which one's body weight or shape is experienced. The eating disturbance is not attributable to a current medical condition or not better explained by another mental disorder. When the eating disturbance occurs in the context of another condition or disorder, the severity of the eating disturbance exceeds that routinely associated with the condition or disorder and warrants additional clinical attention  Recent research suggests that patients meeting criteria for ARFID typically have a longer history of symptoms prior to diagnosis, and an earlier onset than AN or BN patients. Selective eating is persistent in ARFID patients, typically beginning in infancy or early childhood.	Die Essstörung tritt nicht ausschließlich im Verlauf der Anorexia nervosa oder Bulimia nervosa auf, und es gibt keine Anzeichen für eine Störung im Erleben des eigenen Körpergewichts oder der eigenen Körperform. Die Essstörung ist nicht auf eine aktuelle medizinische Erkrankung zurückzuführen und wird auch nicht durch eine andere psychische Störung besser erklärt. Wenn die Essstörung im Zusammenhang mit einer anderen Erkrankung oder Störung auftritt, übersteigt die Schwere der Essstörung in der Regel das normale Ausmaß, das mit der jeweiligen Erkrankung oder Störung verbunden ist, und erfordert eine zusätzliche klinische Aufmerksamkeit. Aktuelle Forschungen legen nahe, dass Patienten, die die Kriterien für ARFID erfüllen, in der Regel eine längere Vorgeschichte von Symptomen vor der Diagnose aufweisen und eine frühere Krankheitsentwicklung als Patienten mit Anorexia nervosa oder Bulimia nervosa haben. Das selektive Essen ist bei ARFID-Patienten hartnäckig und beginnt in der Regel im Säuglings- oder frühen Kindesalter.	M	4	The eating disturbance does not occur exclusively during the course of anorexia nervosa or bulimia nervosa, and there is no evidence of a disturbance in the way in which one's body weight or shape is experienced. The eating disturbance is not attributable to a current medical condition or not better explained by another mental disorder.	2.0	When the eating disturbance occurs in the context of another condition or disorder, the severity of the eating disturbance exceeds that routinely associated with the condition or disorder and warrants additional clinical attention  Recent research suggests that patients meeting criteria for ARFID typically have a longer history of symptoms prior to diagnosis, and an earlier onset than AN or BN patients.	Selective eating is persistent in ARFID patients, typically beginning in infancy or early childhood.	1.0	True
33	patients	A total of fifty-five activists were admitted to the Israeli hospitals of Hadassah, Sheba, Rambam, Rabin, and Barzilai. Nine of the activists were in severe condition, and some underwent surgery at Rambam and Sheba hospitals. Several patients were transferred from Rabin Medical Center to Israel Prison Service medical facilities. The Turkish government sent Turkish Red Crescent personnel to Israel to treat the injured.	Insgesamt wurden fünfundfünfzig Aktivisten in die israelischen Krankenhäuser Hadassah, Sheba, Rambam, Rabin und Barzilai eingeliefert. Neun der Aktivisten waren in einem schweren Zustand, und einige von ihnen wurden in den Krankenhäusern Rambam und Sheba operiert. Mehrere Patienten wurden vom Rabin Medical Center in medizinische Einrichtungen des israelischen Gefängnisdienstes verlegt. Die türkische Regierung entsandte Mitarbeiter des Türkischen Rotes Halbmond zur Behandlung der Verletzten.	M	4	A total of fifty-five activists were admitted to the Israeli hospitals of Hadassah, Sheba, Rambam, Rabin, and Barzilai. Nine of the activists were in severe condition, and some underwent surgery at Rambam and Sheba hospitals.	2.0	Several patients were transferred from Rabin Medical Center to Israel Prison Service medical facilities.	The Turkish government sent Turkish Red Crescent personnel to Israel to treat the injured.	1.0	True
40	ceramists	The  is located in Arita Town, Nishimatsuura District, Saga Prefecture. Sueyama Shrine has a porcelain archway and other items of porcelain which, at other shrines, are usually made of stone. This shrine was and still is particularly revered by Arita’s ceramists. History  It is dedicated to Emperor Ōjin, Nabeshima Naoshige, and Yi Sam-pyeong.	Der Schrein befindet sich in der Stadt Arita, im Bezirk Nishimatsuura, Präfektur Saga. Der Sueyama-Schrein hat ein Porzellantor und andere Porzellanstücke, die in anderen Schreinen normalerweise aus Stein gemacht sind. Dieser Schrein wurde und wird immer noch besonders von den Keramikern von Arita verehrt. Geschichte. Er ist den Kaiser Ōjin, Nabeshima Naoshige und Yi Sam-pyeong gewidmet.	M	5						False
41	ceramists	"Monument to Tendryakov  Vladimir Fedorovich Tendryakov is a Russian Soviet writer, author of acutely conflict stories about the spiritual and moral problems of contemporary life, acute problems of Soviet society, about life in the countryside. ""Train kiln"" Vaga  In August 2020, in the village of Makarovskaya, the first ""train kiln""–type wood-fired ceramic kiln appeared in Russia. A team of ceramists under the leadership of the Vologda master Vladimir Kholshchagin built the kiln in 5 days, the stove was named ""Vaga"". The peculiarity is that the kiln has two burners."	"Denkmal für Tendryakov Vladimir Fedorovich Tendryakov ist ein russisch-sowjetischer Schriftsteller, Autor von scharfen Konfliktgeschichten über die geistigen und moralischen Probleme des zeitgenössischen Lebens, akute Probleme der sowjetischen Gesellschaft und das Leben auf dem Land. ""Zugofen"" Vaga Im August 2020 erschien in Russland das erste Holz-Keramikofen vom Typ ""Zugofen"" im Dorf Makarovskaya. Ein Team von Keramikern unter der Leitung des Vologda-Meisters Vladimir Kholshchagin hat den Ofen in 5 Tagen gebaut, der Ofen wurde ""Vaga"" genannt. Die Besonderheit besteht darin, dass der Ofen zwei Brenner hat."	M	4	"Monument to Tendryakov  Vladimir Fedorovich Tendryakov is a Russian Soviet writer, author of acutely conflict stories about the spiritual and moral problems of contemporary life, acute problems of Soviet society, about life in the countryside. ""Train kiln"" Vaga  In August 2020, in the village of Makarovskaya, the first ""train kiln""–type wood-fired ceramic kiln appeared in Russia."	2.0	"A team of ceramists under the leadership of the Vologda master Vladimir Kholshchagin built the kiln in 5 days, the stove was named ""Vaga""."	The peculiarity is that the kiln has two burners.	1.0	True
